ko	key	en
분노	E10	anger
툴툴대는	E11	grumble
좌절한	E12	frustrated
짜증내는	E13	annoyed
방어적인	E14	defensive
악의적인	E15	malicious
안달하는	E16	impatient
구역질 나는	E17	sickening
노여워하는	E18	angry
성가신	E19	annoying
슬픔	E20	sorrow
실망한	E21	disappointed
비통한	E22	heartbreaking
후회되는	E23	regretful
우울한	E24	gloomy
마비된	E25	numb
염세적인	E26	pessimistic
눈물이 나는	E27	tearful
낙담한	E28	discouraged
환멸을 느끼는	E29	disillusion
불안	E30	anxiety
두려운	E31	afraid
스트레스 받는	E32	stressed out
취약한	E33	vulnerable
혼란스러운	E34	confused
당혹스러운	E35	embarrassing
회의적인	E36	skeptical
걱정스러운	E37	worried
조심스러운	E38	cautious
초조한	E39	nervous
상처	E40	wounded
질투하는	E41	jealous
배신당한	E42	betrayed
고립된	E43	isolated
충격 받은	E44	shocked
가난한, 불우한	E45	underprivileged
희생된	E46	sacrificed
억울한	E47	unfair
괴로워하는	E48	suffering
버려진	E49	abandoned
당황	E50	embarrassment
고립된(당황한)	E51	isolated
남의 시선을 의식하는	E52	self conscious
외로운	E53	solitary
열등감	E54	inferiority
죄책감의	E55	guilty conscience
부끄러운	E56	shameful
혐오스러운	E57	disgusting
한심한	E58	pathetic
혼란스러운(당황한)	E59	confused
기쁨	E60	delight
감사하는	E61	grateful
신뢰하는	E62	trusting
편안한	E63	comfortable
만족스러운	E64	satisfactory
흥분	E65	excitement
느긋	E66	leisurely
안도	E67	relieved
신이 난	E68	excited
자신하는	E69	confident
